ID_KEY;OBL;NU;KMB
009;05;Бюджет Ленінського р-ну;05201607000
009;06;Бюджет м.Андрушівка;06301301000
009;07;Бюджет с.Великі Береги;07301509000
009;09;Бюджет с. Гузієв;09202501000
009;10;Бюджет селища Ворзель;10206402000
009;11;Бюджет с.Звенігородка;11203501000
009;12;Бюджет селища Ювілейного;12201401000
009;13;Бюджет м.Винники;13201301000
009;14;Бюджет м.Первомайська;14204100000
009;16;АВТОЗАВОДСКОЙ;16203601000
009;17;Бюджет с. Балашівка;17301501000
009;18;Бюджет с.Підлипне;18203501000
009;19;Бюджет с.Котів;19301507000
009;20;Бюджет Орджонікідзевського району;20201607000
009;21;Бюджет селища Комишани;21201403000
009;22;Селище Бiлогiр`я;22301401000
009;23;Бюджет м. Сміла;23205100000
009;24;Бюджет м. Вашківці;24301302000
009;25;Бюджет м. Батурин;25301302000
009;26;Бюджет Святошинського району;26400608100
009;27;Бюджет селища Кача;27400602401
010;01;Бюджет с.Лучисте;01202502000
010;02;ХМIЛЬНИК;02206100000
010;03;Бюджет с. Березовичі;03301502000
010;04;Бюджет Самарського району;04201608000
010;05;Бюджет Петровського р-ну;05201608000
010;06;Бюджет Червоненської селищноі ради;06301401000
010;07;Бюджет с.Бадалово;07301502000
010;08;Бюджет селища Тепличне;08201401000
010;09;Бюджет с. Козаківка;09202502000
010;10;Бюджет селища Гостомель;10206403000
010;11;Бюджет м. Знам`янка;11202100000
010;12;Бюджет м. Антрацита;12203100000
010;13;Бюджет селище Рудно;13201402000
010;14;Бюджет м.Южноукраїнська;14205100000
010;16;КРЮКОВСКИЙ;16203602000
010;17;Бюджет с. Бронне;17301504000
010;18;Бюджет м. Лебедина;18204100000
010;19;Бюджет с.Куропатники;19301508000
010;20;Бюджет Фрунзенського району;20201608000
010;21;Бюджет с. Степанівка;21201501000
010;22;Селище Ямпiль;22301402000
010;23;Бюджет м. Умань;23206100000
010;24;Бюджет смт. Берегомет;24301401000
010;25;Бюджет селища Дмитрівка;25301402000
010;26;Бюджет Солом``янського району;26400609100
010;27;Бюджет с.Андріївка;27400602501
011;01;Бюджет с.Малий Маяк;01202504000
011;02;БАРСЬКИЙ РАЙОН/М.БАР;02301200000
011;03;Бюджет с. Бубнів;03301503000
011;05;Бюджет Пролетарського р-ну;05201609000
011;06;Бюджет Антопільської с\р;06301501000
011;07;Бюджет с.Вари;07301507000
011;08;Бюджет м. Бердянськ;08202100000
011;09;Бюджет с. Міжріччя;09202503000
