DATA;KOD;KODROZ;KVK;KRK;KTFK;KEKV;KKD;KKF;KKFN;KKF;SUMM;NOTE
19.05.2015;4;R4;;;0;0;11010900;0;1;0;20600;
19.05.2015;4;R4;;;0;0;11010900;0;1;0;20500;
19.05.2015;4;R4;;;0;0;11020200;0;1;0;74100;
19.05.2015;4;R4;;;0;0;11020200;0;1;0;35700;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;41900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;24900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;24900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;24900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;24900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;24900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;24900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;24900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;24900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;24900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;24900;
19.05.2015;4;R4;;;0;0;11023200;0;1;0;22700;
19.05.2015;4;R4;;;0;0;13030600;0;1;0;100;
19.05.2015;4;R4;;;0;0;13030600;0;1;0;100;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;2500000;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;3500000;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;4000000;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;4500000;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;5000000;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;4700000;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;4700000;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;4800000;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;4600000;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;4000000;
19.05.2015;4;R4;;;0;0;14040000;0;1;0;6505800;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;62400;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;7300;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;12900;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;38600;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;10500;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;20600;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;116500;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;7100;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;14500;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;102200;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;4000;
19.05.2015;4;R4;;;0;0;18010100;0;1;0;19400;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;800;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;900;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;1000;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;1200;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;7000;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;75500;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;54700;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;10500;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;2200;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;300;
19.05.2015;4;R4;;;0;0;18010200;0;1;0;500;
19.05.2015;4;R4;;;0;0;18010400;0;1;0;813500;
19.05.2015;4;R4;;;0;0;18010400;0;1;0;803700;
19.05.2015;4;R4;;;0;0;18010400;0;1;0;806500;
19.05.2015;4;R4;;;0;0;18010400;0;1;0;813000;
19.05.2015;4;R4;;;0;0;18010400;0;1;0;818000;
19.05.2015;4;R4;;;0;0;18010400;0;1;0;818700;
19.05.2015;4;R4;;;0;0;18010400;0;1;0;818000;
19.05.2015;4;R4;;;0;0;18010400;0;1;0;817000;
19.05.2015;4;R4;;;0;0;18010400;0;1;0;815500;
19.05.2015;4;R4;;;0;0;18010400;0;1;0;816500;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1099500;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1420300;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1273700;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1256500;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1268200;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1343500;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1317300;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1314500;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1360800;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1383200;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1393800;
19.05.2015;4;R4;;;0;0;18010500;0;1;0;1468600;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4076400;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;3964500;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4175900;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4182800;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4155400;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4307700;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4469000;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4117300;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4248600;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4492600;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4457100;
19.05.2015;4;R4;;;0;0;18010600;0;1;0;4556500;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;12300;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;21500;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;18500;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;17300;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;30700;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;103400;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;411600;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;245400;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;99700;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;38800;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;40200;
19.05.2015;4;R4;;;0;0;18010700;0;1;0;29300;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;733200;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;1075800;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;782000;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;724800;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;768700;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;866900;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;1160900;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;1660500;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;939500;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;881100;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;788300;
19.05.2015;4;R4;;;0;0;18010900;0;1;0;823600;
19.05.2015;4;R4;;;0;0;18011000;0;1;0;10000;
19.05.2015;4;R4;;;0;0;18011000;0;1;0;15000;
19.05.2015;4;R4;;;0;0;18011000;0;1;0;60000;
19.05.2015;4;R4;;;0;0;18011000;0;1;0;70000;
19.05.2015;4;R4;;;0;0;18011000;0;1;0;60000;
19.05.2015;4;R4;;;0;0;18011000;0;1;0;45000;
19.05.2015;4;R4;;;0;0;18011000;0;1;0;40000;
19.05.2015;4;R4;;;0;0;18011100;0;1;0;10000;
19.05.2015;4;R4;;;0;0;18011100;0;1;0;12000;
19.05.2015;4;R4;;;0;0;18011100;0;1;0;15000;
19.05.2015;4;R4;;;0;0;18011100;0;1;0;25000;
19.05.2015;4;R4;;;0;0;18011100;0;1;0;35000;
19.05.2015;4;R4;;;0;0;18011100;0;1;0;30000;
19.05.2015;4;R4;;;0;0;18011100;0;1;0;40000;
19.05.2015;4;R4;;;0;0;18011100;0;1;0;10000;
19.05.2015;4;R4;;;0;0;18011100;0;1;0;10000;
19.05.2015;4;R4;;;0;0;18011100;0;1;0;13000;
19.05.2015;4;R4;;;0;0;18020100;0;1;0;30300;
19.05.2015;4;R4;;;0;0;18020100;0;1;0;28300;
19.05.2015;4;R4;;;0;0;18020100;0;1;0;30100;
19.05.2015;4;R4;;;0;0;18020100;0;1;0;29800;
19.05.2015;4;R4;;;0;0;18020100;0;1;0;28900;
19.05.2015;4;R4;;;0;0;18020100;0;1;0;29100;
